"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 17:06:15 GMT 2023","Sat Mar 11 17:06:15 GMT 2023","322","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 17:07:45 GMT 2023","Sat Mar 11 17:07:46 GMT 2023","274","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности повторного переключения между опциями",""
"passed","Sat Mar 11 17:06:10 GMT 2023","Sat Mar 11 17:06:10 GMT 2023","320","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"skipped","Sat Mar 11 17:06:22 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"skipped","Sat Mar 11 17:06:22 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 17:09:01 GMT 2023","Sat Mar 11 17:09:05 GMT 2023","3554","tests.pizza_page","test_pizza_pages_go_to_cart","TestPizzaPagesGoToCart","","","Переход в корзину с помощью уведомления о добавлении пиццы",""
"passed","Sat Mar 11 17:05:58 GMT 2023","Sat Mar 11 17:05:58 GMT 2023","327","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 17:08:10 GMT 2023","Sat Mar 11 17:08:14 GMT 2023","4116","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верного количества пицц в корзину",""
"passed","Sat Mar 11 17:08:18 GMT 2023","Sat Mar 11 17:08:22 GMT 2023","3877","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верного количества пицц в корзину",""
"passed","Sat Mar 11 17:07:33 GMT 2023","Sat Mar 11 17:07:33 GMT 2023","259","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
"passed","Sat Mar 11 17:07:41 GMT 2023","Sat Mar 11 17:07:42 GMT 2023","297","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка изменения цены пиццы при выборе дополнительной опции",""
"passed","Sat Mar 11 17:08:33 GMT 2023","Sat Mar 11 17:08:37 GMT 2023","4487","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Добавление пиццы с дополнительной опцией в корзину",""
"passed","Sat Mar 11 17:05:45 GMT 2023","Sat Mar 11 17:05:46 GMT 2023","1249","tests.main_page","test_slider","TestMainPageSlider","","","Прокрутка слайдера на главной странице вправо/влево",""
"passed","Sat Mar 11 17:05:37 GMT 2023","Sat Mar 11 17:05:39 GMT 2023","2379","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Проверка добавления пиццы в корзину - переход с помощью общего меню",""
"passed","Sat Mar 11 17:06:04 GMT 2023","Sat Mar 11 17:06:04 GMT 2023","329","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 17:04:58 GMT 2023","Sat Mar 11 17:05:00 GMT 2023","2541","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Изменение кол-ва пицц - пицца с доп. опциями",""
"passed","Sat Mar 11 17:07:10 GMT 2023","Sat Mar 11 17:07:12 GMT 2023","1871","tests.pizza_page","test_pizza_pages_add_notification","TestAddPizzaToCartNotification","","","Верное название пиццы в уведомлении о добавлении пиццы",""
"passed","Sat Mar 11 17:05:23 GMT 2023","Sat Mar 11 17:05:24 GMT 2023","702","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Отображение цены продукта в корзине при его добавлении",""
"passed","Sat Mar 11 17:07:58 GMT 2023","Sat Mar 11 17:07:59 GMT 2023","348","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Попытка добавить 0 пицц в корзину",""
"skipped","Sat Mar 11 17:06:22 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 17:05:16 GMT 2023","Sat Mar 11 17:05:18 GMT 2023","1889","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Изменение кол-ва пицц - пицца с доп. опциями",""
"passed","Sat Mar 11 17:05:29 GMT 2023","Sat Mar 11 17:05:31 GMT 2023","2335","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Проверка добавления пиццы в корзину - переход с помощью значка корзины",""
"passed","Sat Mar 11 17:08:56 GMT 2023","Sat Mar 11 17:08:57 GMT 2023","1503","tests.pizza_page","test_pizza_pages_go_to_cart","TestPizzaPagesGoToCart","","","Переход в корзину с помощью общего меню",""
"passed","Sat Mar 11 17:04:40 GMT 2023","Sat Mar 11 17:04:42 GMT 2023","1901","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Уменьшение кол-ва пицц - одна пицца в корзине",""
"passed","Sat Mar 11 17:06:21 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","1551","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 17:08:03 GMT 2023","Sat Mar 11 17:08:07 GMT 2023","4022","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верной пиццы в корзину",""
"skipped","Sat Mar 11 17:06:22 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 17:06:50 GMT 2023","Sat Mar 11 17:06:52 GMT 2023","2069","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"skipped","Sat Mar 11 17:06:22 GMT 2023","Sat Mar 11 17:06:22 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 17:06:42 GMT 2023","Sat Mar 11 17:06:44 GMT 2023","2171","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 17:07:25 GMT 2023","Sat Mar 11 17:07:26 GMT 2023","147","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
"passed","Sat Mar 11 17:07:29 GMT 2023","Sat Mar 11 17:07:29 GMT 2023","215","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
