"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 15:54:22 GMT 2023","Sat Mar 11 15:54:25 GMT 2023","2951","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верного количества пицц в корзину",""
"passed","Sat Mar 11 15:55:00 GMT 2023","Sat Mar 11 15:55:01 GMT 2023","1474","tests.pizza_page","test_pizza_pages_go_to_cart","TestPizzaPagesGoToCart","","","Переход в корзину с помощью общего меню",""
"passed","Sat Mar 11 15:50:59 GMT 2023","Sat Mar 11 15:50:59 GMT 2023","711","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Отображение цены продукта в корзине при его добавлении",""
"passed","Sat Mar 11 15:51:32 GMT 2023","Sat Mar 11 15:51:33 GMT 2023","1461","tests.main_page","test_slider","TestMainPageSlider","","","Прокрутка слайдера на главной странице вправо/влево",""
"passed","Sat Mar 11 15:54:38 GMT 2023","Sat Mar 11 15:54:41 GMT 2023","3023","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Добавление пиццы с дополнительной опцией в корзину",""
"passed","Sat Mar 11 15:54:06 GMT 2023","Sat Mar 11 15:54:09 GMT 2023","2916","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верной пиццы в корзину",""
"passed","Sat Mar 11 15:53:51 GMT 2023","Sat Mar 11 15:53:52 GMT 2023","342","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности повторного переключения между опциями",""
"passed","Sat Mar 11 15:52:22 GMT 2023","Sat Mar 11 15:52:25 GMT 2023","2229","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 15:52:39 GMT 2023","Sat Mar 11 15:52:42 GMT 2023","2457","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 15:53:03 GMT 2023","Sat Mar 11 15:53:04 GMT 2023","1232","tests.pizza_page","test_pizza_pages_add_notification","TestAddPizzaToCartNotification","","","Верное название пиццы в уведомлении о добавлении пиццы",""
"skipped","Sat Mar 11 15:52:08 GMT 2023","Sat Mar 11 15:52:08 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 15:51:53 GMT 2023","Sat Mar 11 15:51:53 GMT 2023","329","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"broken","Sat Mar 11 15:51:53 GMT 2023","Sat Mar 11 15:51:53 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 15:53:30 GMT 2023","Sat Mar 11 15:53:30 GMT 2023","289","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
"passed","Sat Mar 11 15:53:15 GMT 2023","Sat Mar 11 15:53:15 GMT 2023","142","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка наличия дополнительных опций",""
"passed","Sat Mar 11 15:53:56 GMT 2023","Sat Mar 11 15:53:57 GMT 2023","152","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Количество пицц - увеличение значения инпут формы",""
"passed","Sat Mar 11 15:50:13 GMT 2023","Sat Mar 11 15:50:15 GMT 2023","1910","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Уменьшение кол-ва пицц - одна пицца в корзине",""
"skipped","Sat Mar 11 15:52:08 GMT 2023","Sat Mar 11 15:52:08 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 15:52:56 GMT 2023","Sat Mar 11 15:52:57 GMT 2023","1232","tests.pizza_page","test_pizza_pages_add_notification","TestAddPizzaToCartNotification","","","Проверка появления уведомления о добавлении пиццы в корзину",""
"skipped","Sat Mar 11 15:52:08 GMT 2023","Sat Mar 11 15:52:08 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 15:51:46 GMT 2023","Sat Mar 11 15:51:47 GMT 2023","321","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 15:53:46 GMT 2023","Sat Mar 11 15:53:46 GMT 2023","341","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности повторного переключения между опциями",""
"passed","Sat Mar 11 15:50:50 GMT 2023","Sat Mar 11 15:50:53 GMT 2023","2641","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Изменение кол-ва пицц - пицца с доп. опциями",""
"passed","Sat Mar 11 15:52:48 GMT 2023","Sat Mar 11 15:52:51 GMT 2023","3762","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 15:51:24 GMT 2023","Sat Mar 11 15:51:25 GMT 2023","1666","tests.main_page","test_slider","TestMainPageSlider","","","Прокрутка слайдера на главной странице вправо/влево",""
"passed","Sat Mar 11 15:53:25 GMT 2023","Sat Mar 11 15:53:25 GMT 2023","233","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
"passed","Sat Mar 11 15:52:31 GMT 2023","Sat Mar 11 15:52:33 GMT 2023","2599","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 15:54:30 GMT 2023","Sat Mar 11 15:54:33 GMT 2023","2992","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верного количества пицц в корзину",""
"skipped","Sat Mar 11 15:52:08 GMT 2023","Sat Mar 11 15:52:08 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 15:54:14 GMT 2023","Sat Mar 11 15:54:17 GMT 2023","2935","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Проверка добавления верного количества пицц в корзину",""
"passed","Sat Mar 11 15:52:14 GMT 2023","Sat Mar 11 15:52:16 GMT 2023","2429","tests.pizza_page","test_pizza_pages","TestGoToPizzaPage","","","Переход на страницу пиццы с помощью слайдера",""
"passed","Sat Mar 11 15:53:09 GMT 2023","Sat Mar 11 15:53:10 GMT 2023","1396","tests.pizza_page","test_pizza_pages_add_notification","TestAddPizzaToCartNotification","","","Верное количество добавленных пицц в уведомлении о добавлении пиццы",""
"passed","Sat Mar 11 15:50:31 GMT 2023","Sat Mar 11 15:50:34 GMT 2023","2684","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Изменение кол-ва пицц - пицца с доп. опциями",""
"skipped","Sat Mar 11 15:52:08 GMT 2023","Sat Mar 11 15:52:08 GMT 2023","0","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' после добавления пиццы в корзину",""
"passed","Sat Mar 11 15:51:06 GMT 2023","Sat Mar 11 15:51:08 GMT 2023","2541","tests.main_page","test_add_to_cart","TestMainPageAddToCart","","","Проверка добавления пиццы в корзину - переход с помощью значка корзины",""
"passed","Sat Mar 11 15:52:06 GMT 2023","Sat Mar 11 15:52:07 GMT 2023","1786","tests.main_page","test_slider","TestMainPageSlider","","","Появление кнопки 'В корзину' при наведении на пиццу",""
"passed","Sat Mar 11 15:49:41 GMT 2023","Sat Mar 11 15:49:44 GMT 2023","2799","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Уменьшение кол-ва пицц - несколько пицц одного вида в строке",""
"passed","Sat Mar 11 15:50:01 GMT 2023","Sat Mar 11 15:50:04 GMT 2023","2382","tests.cart_page","test_change_value_of_products","TestChangeNumberOfPizzaAtCart","","","Уменьшение кол-ва пицц - одна пицца одного вида в строке",""
"passed","Sat Mar 11 15:54:01 GMT 2023","Sat Mar 11 15:54:02 GMT 2023","277","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Попытка добавить 0 пицц в корзину",""
"passed","Sat Mar 11 15:54:53 GMT 2023","Sat Mar 11 15:54:55 GMT 2023","1438","tests.pizza_page","test_pizza_pages_go_to_cart","TestPizzaPagesGoToCart","","","Переход в корзину с помощью значка корзины",""
"passed","Sat Mar 11 15:54:46 GMT 2023","Sat Mar 11 15:54:49 GMT 2023","3083","tests.pizza_page","test_pizza_pages_add_to_cart","TestAddPizzaToCartFromPage","","","Добавление пиццы с дополнительной опцией в корзину",""
"passed","Sat Mar 11 15:53:20 GMT 2023","Sat Mar 11 15:53:20 GMT 2023","177","tests.pizza_page","test_pizza_pages_add_options","TestPizzaAddOptions","","","Проверка возможности выбора дополнительной опции",""
